learning_rate,epoch,training_loss,training_error,test_loss,test_error
0.006250,13,0.038868,5.225621,0.046748,7.224713
0.006250,14,0.036202,4.896448,0.044998,6.925760
0.006250,15,0.033803,4.580990,0.043515,6.676632
0.006250,16,0.031733,4.183239,0.042227,6.377678
0.006250,17,0.030031,4.018653,0.041193,5.979073
0.006250,18,0.028630,3.716911,0.040420,5.979073
0.006250,19,0.027425,3.648334,0.039834,5.829597
0.006250,20,0.026361,3.524894,0.039390,6.028899
0.006250,21,0.025394,3.442600,0.039034,5.979073
0.006250,22,0.024492,3.305445,0.038692,5.929248
0.006250,23,0.023646,3.195721,0.038324,5.779771
0.006250,24,0.022857,3.072281,0.037924,5.829597
0.006250,25,0.022138,2.880263,0.037534,5.829597
0.006250,26,0.021490,2.811686,0.037187,5.979073
0.006250,27,0.020902,2.729392,0.036879,5.979073
0.006250,28,0.020352,2.729392,0.036570,5.929248
0.006250,29,0.019825,2.688246,0.036251,5.729945
0.006250,30,0.019313,2.605953,0.035941,5.729945
0.006250,31,0.018823,2.537375,0.035665,5.729945
0.006250,32,0.018361,2.400219,0.035439,5.729945
0.006250,33,0.017931,2.263064,0.035257,5.729945
0.006250,34,0.017524,2.208202,0.035110,5.630294
0.006250,35,0.017122,2.153340,0.034986,5.680120
0.006250,36,0.016714,2.139624,0.034868,5.680120
0.006250,37,0.016310,2.071047,0.034743,5.630294
0.006250,38,0.015921,2.043615,0.034608,5.530643
0.006250,39,0.015525,1.947607,0.034454,5.430992
0.006250,40,0.015116,1.933891,0.034279,5.430992
0.006250,41,0.014714,1.906460,0.034117,5.231689
0.006250,42,0.014316,1.837882,0.033971,5.331340
0.006250,43,0.013925,1.824167,0.033831,5.331340
0.006250,44,0.013549,1.769305,0.033703,5.430992
0.006250,45,0.013194,1.687011,0.033608,5.580468
0.006250,46,0.012857,1.700727,0.033545,5.480817
0.006250,47,0.012528,1.632149,0.033490,5.480817
0.006250,48,0.012202,1.604718,0.033427,5.530643
0.006250,49,0.011902,1.577287,0.033367,5.580468
0.006250,50,0.011634,1.549856,0.033311,5.630294
0.006250,51,0.011400,1.508709,0.033251,5.630294
0.006250,52,0.011203,1.481278,0.033188,5.480817
0.006250,53,0.011034,1.467563,0.033134,5.480817
0.006250,54,0.010874,1.426416,0.033093,5.381166
0.006250,55,0.010712,1.412701,0.033066,5.331340
0.006250,56,0.010547,1.385270,0.033050,5.430992
0.006250,57,0.010375,1.371554,0.033038,5.331340
0.006250,58,0.010194,1.344123,0.033019,5.381166
0.006250,59,0.010006,1.302976,0.032991,5.331340
0.006250,60,0.009814,1.275545,0.032954,5.381166
0.006250,61,0.009620,1.248114,0.032909,5.381166
0.006250,62,0.009428,1.220683,0.032861,5.281515
0.006250,63,0.009239,1.179536,0.032817,5.181863
0.006250,64,0.009053,1.179536,0.032779,5.231689
0.006250,65,0.008872,1.165821,0.032747,5.281515
0.006250,66,0.008699,1.152105,0.032711,5.231689
0.006250,67,0.008535,1.165821,0.032650,5.281515
0.006250,68,0.008386,1.124674,0.032572,5.281515
0.006250,69,0.008255,1.124674,0.032534,5.231689
0.006250,70,0.008138,1.124674,0.032506,5.231689
0.006250,71,0.008028,1.124674,0.032445,5.082212
0.006250,72,0.007924,1.097243,0.032374,5.082212
0.006250,73,0.007818,1.083528,0.032311,4.932735
0.006250,74,0.007707,1.069812,0.032260,4.932735
0.006250,75,0.007595,1.056097,0.032226,4.882910
0.006250,76,0.007484,1.042381,0.032207,4.882910
0.006250,77,0.007377,1.042381,0.032193,4.833084
0.006250,78,0.007271,1.042381,0.032176,4.882910
0.006250,79,0.007177,1.028665,0.032156,4.882910
0.006250,80,0.007093,1.001234,0.032184,4.882910
0.006250,81,0.006992,1.001234,0.032248,4.833084
0.006250,82,0.006889,0.973803,0.032272,4.833084
0.006250,83,0.006795,0.973803,0.032303,4.882910
0.006250,84,0.006707,0.973803,0.032334,4.932735
0.006250,85,0.006625,0.960088,0.032367,4.932735
0.006250,86,0.006550,0.960088,0.032403,4.982561
0.006250,87,0.006481,0.973803,0.032443,4.982561
0.006250,88,0.006417,0.973803,0.032490,5.032387
0.006250,89,0.006354,0.960088,0.032541,5.032387
0.006250,90,0.006288,0.946372,0.032593,5.181863
0.006250,91,0.006219,0.946372,0.032643,5.181863
0.006250,92,0.006150,0.946372,0.032692,5.181863
0.006250,93,0.006084,0.932657,0.032742,5.231689
0.006250,94,0.006021,0.905226,0.032802,5.231689
0.006250,95,0.005963,0.891510,0.032878,5.281515
0.006250,96,0.005908,0.891510,0.032962,5.281515
0.006250,97,0.005848,0.877795,0.033009,5.331340
0.006250,98,0.005775,0.877795,0.033014,5.331340
0.006250,99,0.005708,0.877795,0.033014,5.381166
0.006250,100,0.005655,0.864079,0.033020,5.331340
0.003125,1,0.360028,88.588669,0.360522,89.088188
0.003125,2,0.359968,88.588669,0.360461,89.088188
0.003125,3,0.359872,88.588669,0.360370,89.088188
0.003125,4,0.359679,88.588669,0.360188,89.088188
0.003125,5,0.359127,88.588669,0.359672,89.088188
0.003125,6,0.356269,86.695923,0.357015,87.892380
0.003125,7,0.337248,80.016457,0.339367,81.215744
0.003125,8,0.324226,74.242218,0.326933,75.834579
0.003125,9,0.276418,56.110271,0.278898,57.100151
0.003125,10,0.200059,30.558222,0.202934,30.891878
0.003125,11,0.147545,20.312714,0.149888,20.279024
0.003125,12,0.112689,15.196818,0.114087,15.545590
0.003125,13,0.092037,12.385133,0.092888,12.356751
